P31,-20,3,0.03125,0.27209,0.93567,0.3065,2.6683,9.1758,-1.8902,-1.2195,0.1829,-16.206,-19.803,-12.292,-0.404,4.290
103120,static,402,4498,15272,-47,-20,0,0.02454,0.27454,0.93213,0.2406,2.6923,9.1411,-2.8659,-1.2195,0.0000,-16.406,-19.791,-12.344,-0.406,4.293
103140,static,524,4420,15222,-53,-24,0,0.03198,0.26978,0.92908,0.3136,2.6456,9.1111,-3.2317,-1.4634,0.0000,-16.183,-19.782,-12.381,-0.411,4.293
103160,static,394,4662,15288,-68,-24,0,0.02405,0.28455,0.93311,0.2358,2.7904,9.1506,-4.1463,-1.4634,0.0000,-16.954,-19.807,-12.404,-0.412,4.291
103180,static,332,4482,15286,-83,-22,1,0.02026,0.27356,0.93298,0.1987,2.6827,9.1494,-5.0610,-1.3415,0.0610,-16.338,-19.837,-12.419,-0.413,4.289
103200,static,442,3826,15370,-78,-24,-1,0.02698,0.23352,0.93811,0.2646,2.2901,9.1997,-4.7561,-1.4634,-0.0610,-13.973,-19.813,-12.414,-0.416,4.289
103220,static,488,3744,15286,-25,-19,3,0.02979,0.22852,0.93298,0.2921,2.2410,9.1494,-1.5244,-1.1585,0.1829,-13.756,-19.722,-12.392,-0.420,4.290
103240,static,460,4680,15304,-1,-20,0,0.02808,0.28564,0.93408,0.2753,2.8012,9.1602,-0.0610,-1.2195,0.0000,-16.997,-19.668,-12.424,-0.422,4.294
103260,static,332,5312,15284,-43,-23,2,0.02026,0.32422,0.93286,0.1987,3.1795,9.1482,-2.6220,-1.4024,0.1220,-19.161,-19.709,-12.510,-0.426,4.295
103280,static,498,4720,15224,-111,-25,-1,0.03040,0.28809,0.92920,0.2981,2.8252,9.1123,-6.7683,-1.5244,-0.0610,-17.217,-19.792,-12.572,-0.432,4.297
103300,static,414,3228,15226,-100,-22,0,0.02527,0.19702,0.92932,0.2478,1.9321,9.1135,-6.0976,-1.3415,0.0000,-11.966,-19.755,-12.541,-0.430,4.294
103320,static,504,3768,15268,-21,-22,0,0.03076,0.22998,0.93188,0.3017,2.2553,9.1387,-1.2805,-1.3415,0.0000,-13.856,-19.662,-12.499,-0.432,4.291
103340,static,274,3102,15362,50,-20,1,0.01672,0.18933,0.93762,0.1640,1.8567,9.1949,3.0488,-1.2195,0.0610,-11.414,-19.438,-12.525,-0.429,4.290
103360,static,774,4074,15122,151,-19,0,0.04724,0.24866,0.92297,0.4633,2.4385,9.0513,9.2073,-1.1585,0.0000,-15.059,-19.170,-12.636,-0.437,4.291
103380,static,228,5724,15282,140,-18,-1,0.01392,0.34937,0.93274,0.1365,3.4261,9.1470,8.5366,-1.0976,-0.0610,-20.532,-19.030,-12.869,-0.439,4.292
103400,static,352,7240,15224,-19,-25,0,0.02148,0.44189,0.92920,0.2107,4.3335,9.1123,-1.1585,-1.5244,0.0000,-25.428,-19.180,-13.164,-0.452,4.291
103420,static,514,5454,15268,-180,-28,3,0.03137,0.33289,0.93188,0.3077,3.2645,9.1387,-10.9756,-1.7073,0.1829,-19.647,-19.405,-13.320,-0.453,4.288
103440,static,206,3652,15338,-203,-25,0,0.01257,0.22290,0.93616,0.1233,2.1859,9.1806,-12.3780,-1.5244,0.0000,-13.392,-19.527,-13.238,-0.445,4.286
103460,static,692,2450,15176,-89,-21,2,0.04224,0.14954,0.92627,0.4142,1.4664,9.0836,-5.4268,-1.2805,0.1220,-9.161,-19.426,-13.059,-0.451,4.284
103480,static,290,2734,15134,86,-15,5,0.01770,0.16687,0.92371,0.1736,1.6364,9.0585,5.2439,-0.9146,0.3049,-10.238,-19.140,-12.968,-0.442,4.286
103500,static,498,4292,15234,189,-12,4,0.03040,0.26196,0.92981,0.2981,2.5690,9.1183,11.5244,-0.7317,0.2439,-15.727,-18.845,-13.088,-0.456,4.293
103520,static,188,6732,15292,147,-16,7,0.01147,0.41089,0.93335,0.1125,4.0294,9.1530,8.9634,-0.9756,0.4268,-23.759,-18.768,-13.380,-0.464,4.301
103540,static,402,8416,15362,-94,-24,-1,0.02454,0.51367,0.93762,0.2406,5.0374,9.1949,-5.7317,-1.4634,-0.0610,-28.708,-19.079,-13.707,-0.479,4.311
103560,static,398,5462,15260,-340,-42,-9,0.02429,0.33337,0.93140,0.2382,3.2693,9.1339,-20.7317,-2.5610,-0.5488,-19.688,-19.498,-13.813,-0.479,4.309
103580,static,122,2224,15396,-328,-17,-5,0.00745,0.13574,0.93970,0.0730,1.3312,9.2153,-20.0000,-1.0366,-0.3049,-8.219,-19.664,-13.554,-0.461,4.303
103600,static,1010,3190,15294,-205,-23,12,0.06165,0.19470,0.93347,0.6045,1.9094,9.1542,-12.5000,-1.4024,0.7317,-11.757,-19.751,-13.207,-0.465,4.316
103620,static,1528,7604,15724,-293,18,162,0.09326,0.46411,0.95972,0.9146,4.5514,9.4116,-17.8659,1.0976,9.8780,-25.703,-20.220,-12.965,-0.455,4.350
103640,static,132,9960,15628,-174,-41,-48,0.00806,0.60791,0.95386,0.0790,5.9616,9.3541,-10.6098,-2.5000,-2.9268,-32.509,-20.674,-12.773,-0.412,4.609
103660,static,2444,7294,14430,-308,-44,13,0.14917,0.44519,0.88074,1.4629,4.3658,8.6371,-18.7805,-2.6829,0.7927,-26.491,-21.158,-12.465,-0.481,4.636
